index,category,raw_category_x,nyuId,nyu40id,eigen13id,nyuClass,nyu40class,eigen13class,ModelNet40,ModelNet10,ShapeNetCore55,synsetoffset,wnsynsetid,wnsynsetkey,mpcat40index,mpcat40_x,raw_category_y,mpcat40_y
31,arcade game,arcade game,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,arcade game,misc
32,arch,arch,,40,7.0,,otherprop,Objects,,,,,n02733524,arch.n.04,40.0,misc,arch,misc
33,archway,archway,21.0,1,12.0,wall,wall,Wall,,,,,n02734217,arch.n.03,4.0,door,archway,door
34,armchair,armchair,5.0,5,4.0,chair,chair,Chair,chair,chair,chair,3001627.0,n02738535,armchair.n.01,3.0,chair,aemchair,chair
35,art frame,art frames,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,art frame,misc
36,art piece,art piece,,40,,,otherprop,,,,,,,,,misc,,misc
37,art/clutter,art / clutter,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,art/clutter,misc
38,art/muscle shell,art / muscle shell,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,art/muscle shell,misc
39,art/statue,art / statue,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,art/statue,misc
40,artwork,artwork,64.0,11,8.0,picture,picture,Picture,,,,,n03931044,picture.n.01,6.0,picture,art work,picture
41,artwork frame,artwork frame,,40,,,otherprop,,,,,,,,,misc,,misc
42,ashtray,ashtray,377.0,40,7.0,ashtray,otherprop,Objects,,,,,n02747802,ashtray.n.01,39.0,objects,ashtray,objects
43,attic door,attic door,28.0,8,12.0,door,door,Wall,door,,,,,,40.0,misc,attic door,misc
44,attic entrance,attic entrance,609.0,38,,door way,otherstructure,,,,,,,,,misc,,misc
45,attic hatch,attic hatch,609.0,38,,door way,otherstructure,,,,,,,,,misc,,misc
46,audio cable,audio cable,92.0,40,,wire,otherprop,,,,,,,,,misc,,misc
47,audio cables,audio cables,450.0,40,,cables,otherprop,,,,,,,,,misc,,misc
48,audio player,audio player,,40,,,otherprop,,,,,,,,,objects,,objects
49,axe,axe,,40,7.0,,otherprop,Objects,,,,,n02764044,ax.n.01,39.0,objects,axe,objects
50,baby chair,baby chair,494.0,5,,baby chair,chair,,,,,,,,,misc,,misc
51,baby changing station,baby changing station,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,baby changing station,misc
52,baby changing table,baby changing table,,39,,,otherfurniture,,,,,,,,,misc,,misc
53,baby seat,baby seat,494.0,5,,baby chair,chair,,,,,,,,,misc,,misc
54,backpack,backpack,206.0,40,7.0,backpack,otherprop,Objects,,,,,n02769748,backpack.n.01,39.0,objects,backpack,objects
55,backrest,backrest,5.0,5,4.0,chair,chair,Chair,,,,,n02767433,back.n.08,39.0,objects,backrest,objects
56,backsplash,back splash,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,backsplash,misc
57,bag,bag,55.0,37,7.0,bag,bag,Objects,,,suitcase,2773838.0,n02773838,bag.n.06,39.0,objects,bag,objects
58,bag with sheets,bag with sheets,55.0,37,7.0,bag,bag,Objects,,,,,,,,objects,,objects
59,bag with something,bag with something,55.0,37,7.0,bag,bag,Objects,,,,,,,,objects,,objects
60,bags,bags,55.0,37,7.0,bag,bag,Objects,,,,,,,,objects,,objects
61,balcony,balcony,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,balcony,misc
62,balcony railing,balcony railing,497.0,38,7.0,railing,otherstructure,Objects,,,,,,,40.0,misc,balcony railing,misc
63,ball,ball,60.0,40,7.0,ball,otherprop,Objects,,,,,,,40.0,misc,balk,misc
64,ball chair,ball chair,5.0,5,4.0,chair,chair,Chair,chair,chair,chair,,,,,chair,,chair
65,ball pool,ball pool,520.0,40,,pool ball,otherprop,,,,,,,,,objects,,objects
66,ball pouffe,ball pouffe,5.0,5,4.0,chair,chair,Chair,chair,chair,chair,,,,,seating,,seating
67,balustrade,balustrade,453.0,38,7.0,banister,otherstructure,Objects,,,,,n02788148,bannister.n.02,30.0,railing,balustrade,railing
68,banister,staircase railing,453.0,38,7.0,banister,otherstructure,Objects,,,,,n02788148,bannister.n.02,30.0,railing,banister,railing
69,banner,banner,,40,,,otherprop,,,,,,,,,misc,,misc
70,bar,bar,51.0,38,7.0,bar,otherstructure,Objects,,,,,n02788689,bar.n.03,39.0,objects,bar,objects
71,bar cabinet,bar cabinet,3.0,3,6.0,cabinet,cabinet,Furniture,,,cabinet,2933112.0,n02933112,cabinet.n.01,7.0,cabinet,bar cabinet,cabinet
72,bar chair,bar chair,5.0,5,4.0,chair,chair,Chair,chair,chair,chair,3001627.0,n03001627,chair.n.01,3.0,chair,bar chair,chair
73,bar soap,bar soap,133.0,40,7.0,soap,otherprop,Objects,,,,,,,40.0,misc,bar soap,misc
74,barbecue,barbeque,,40,7.0,,otherprop,Objects,,,,,n02790669,barbecue.n.03,40.0,misc,barbecue,misc
75,barbell,barbell,457.0,40,,excercise equipment,otherprop,,,,,,,,,gym_equipment,,gym_equipment
76,barrel,barrel,343.0,39,6.0,barrel,otherfurniture,Furniture,,,,,,,40.0,misc,barrel,misc
77,base,base,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,base,misc
78,baseball bat,baseball bat,457.0,40,,excercise equipment,otherprop,,,,,,,,,objects,,objects
79,baseball cap,baseball cap,193.0,40,,hat,otherprop,,,,,,,,,objects,,objects
80,baseboard,baseboard,,38,7.0,,otherstructure,Objects,,,,,n02800354,baseboard.n.01,1.0,wall,baseboard,wall
81,basin,basin,24.0,34,7.0,sink,sink,Objects,sink,,,,n04223580,sink.n.01,15.0,sink,basin,sink
82,basin faucet,basin faucet,9.0,39,,faucet,otherfurniture,,,,,,,,,objects,,objects
83,basket,basket,39.0,40,7.0,basket,otherprop,Objects,,,basket,2801938.0,n02801938,basket.n.01,39.0,objects,bascet,objects
84,basket of fruits,basket of fruits,728.0,40,,fruit basket,otherprop,,,,,,,,,objects,,objects
85,basket of something,basket of something,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,basket of something,misc
86,basket of towels,basket of towels,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,basket of towels,misc
87,basket with books,basket /w books,,40,7.0,,otherprop,Objects,,,,,,,,objects,,objects
88,basket with clothes,basket with clothes,164.0,40,,laundry basket,otherprop,,,,,,,,,objects,,objects
89,basketball hoop,basketball hoop,162.0,40,7.0,basketball hoop,otherprop,Objects,,,,,n02802215,basket.n.03,33.0,gym_equipment,basketball hoop,gym_equipment
90,basketballs,basketballs,542.0,40,,basketball,otherprop,,,,,,,,,objects,,objects
91,baskets,baskets,39.0,40,7.0,basket,otherprop,Objects,,,,,,,,objects,,objects
92,bath,bath,136.0,36,,bathtub,bath tub,,,,,,,,,bathtub,,bathtub
93,bath bar,bath bar,,39,,,otherfurniture,,,,,,,,,misc,,misc
94,bath cabinet,bath cabinet,3.0,3,6.0,cabinet,cabinet,Furniture,,,cabinet,2933112.0,n02933112,cabinet.n.01,7.0,cabinet,bath cabinet,cabinet
95,bath carpet,bath carpet,130.0,20,7.0,rug,floor mat,Objects,,,,,,,,floor,,floor
96,bath cosmetics,bath cosmetics,631.0,40,,toiletries,otherprop,,,,,,,,,objects,,objects
97,bath curtain,bath curtain,123.0,28,,shower curtain,shower curtain,,,,,,,,,curtain,,curtain
98,bath curtain bar,bath curtain bar,582.0,40,,curtain rod,otherprop,,,,,,,,,misc,,misc
99,bath dial,bath dial,,40,,,otherprop,,,,,,,,,misc,,misc
100,bath door,bath door,28.0,8,12.0,door,door,Wall,door,,,,,,,door,,door
101,bath door frame,bath door frame,615.0,8,12.0,door frame,door,Wall,door,,,,,,,door,,door
102,bath faucet,bath faucet,9.0,40,7.0,faucet,otherprop,Objects,,,faucet,3325088.0,n03325088,faucet.n.01,39.0,objects,bath faucet,objects
103,bath floor,bath floor,11.0,2,5.0,floor,floor,Floor,,,,,,,,floor,,floor
104,bath grab bar,bath grab bar,,40,,,otherprop,,,,,,,,,misc,,misc
105,bath hanger,bath hanger,211.0,40,,hanger,otherprop,,,,,,,,,objects,,objects
106,bath mat,bath mat,,40,7.0,,otherprop,Objects,,,,,n02807401,bath_mat.n.01,2.0,floor,bath mat,floor
107,bath shelf,bath shelf,42.0,15,6.0,shelves,shelves,Furniture,,,,,,,,shelving,,shelving
108,bath shower,bath shower,,38,7.0,,otherstructure,Objects,,,,,,,,shower,,shower
109,bath side table,bath side table,19.0,7,10.0,table,table,Table,,,,,,,,table,,table
110,bath sink,bath sink,24.0,34,7.0,sink,sink,Objects,sink,,,,,,40.0,misc,bath sink,misc
111,bath tap,bath tap,9.0,40,7.0,faucet,otherprop,Objects,,,,,,,,objects,,objects
112,bath towel,bath towel,135.0,27,7.0,towel,towel,Objects,,,,,n02808304,bath_towel.n.01,20.0,towel,bath towel,towel
113,bath towels,bath towels,135.0,27,7.0,towel,towel,Objects,,,,,,,,towel,,towel
114,bath tub,bat tube,136.0,36,7.0,bathtub,bath tub,Objects,bathtub,bathtub,tub,2808440.0,n02808440,bathtub.n.01,25.0,bathtub,bathtub,bathtub
115,bath utensil,bath utencils,267.0,40,7.0,utensil,otherprop,Objects,,,,,,,40.0,misc,bath utensil,misc
116,bath wall,bath wall,21.0,1,12.0,wall,wall,Wall,,,,,,,40.0,misc,bath wall,misc
117,bathmat,bathmat,,40,7.0,,otherprop,Objects,,,,,,,,floor,,floor
118,bathrobe,bathrobe,,40,7.0,,otherprop,Objects,,,,,n02807616,bathrobe.n.01,38.0,clothes,bathrobe,clothes
119,bathroom accessory,bathroom accessory,,40,7.0,,otherprop,Objects,,,,,n02671780,accessory.n.01,38.0,clothes,bathroom accessory,clothes
120,bathroom art,bathroom art,,40,7.0,,otherprop,Objects,,,,,n02743547,art.n.01,39.0,objects,bathroom art,objects
121,bathroom cabinet,bathroom cabinet,3.0,3,6.0,cabinet,cabinet,Furniture,,,cabinet,2933112.0,n02933112,cabinet.n.01,7.0,cabinet,bathroom cabinet,cabinet
122,bathroom cabinet door,bathroom cabinet door,28.0,8,12.0,door,door,Wall,door,,,,,,,misc,,misc
123,bathroom cabinet drawer,bathroom cabinet drawer,174.0,39,6.0,drawer,otherfurniture,Furniture,,,,,,,,chest_of_drawers,,chest_of_drawers
124,bathroom counter,bathroom counter,7.0,12,6.0,counter,counter,Furniture,table,table,table,4379243.0,n03116530,counter.n.01,26.0,counter,bathroom counter,counter
125,bathroom floor,bathroom floor,11.0,2,5.0,floor,floor,Floor,,,,,,,,floor,,floor
126,bathroom glass,bathroom glass,612.0,38,7.0,glass,otherstructure,Objects,,,,,n03438257,glass.n.02,39.0,objects,bathroom glass,objects
127,bathroom mat,bathroom  mat,,40,7.0,,otherprop,Objects,,,,,,,,floor,,floor
128,bathroom rug,bathroom rug,130.0,20,7.0,rug,floor mat,Objects,,,,,,,,floor,,floor
129,bathroom shelf,bathroom shelf,42.0,15,6.0,shelves,shelves,Furniture,,,,,n04190052,shelf.n.01,31.0,shelving,bathroom shelf,shelving
130,bathroom stuff,bathroom stuff,631.0,40,,toiletries,otherprop,,,,,,,,,objects,,objects
131,bathroom towel,bathroom towel,135.0,27,7.0,towel,towel,Objects,,,,,n04459362,towel.n.01,20.0,towel,bathroom towel,towel
132,bathroom utensil,bathroom utencils,267.0,40,7.0,utensil,otherprop,Objects,,,,,n04516672,utensil.n.01,39.0,objects,bathroom utencils,objects
133,bathroom utensils,bathroom utencills,267.0,40,7.0,utensil,otherprop,Objects,,,,,,,,objects,,objects
134,bathroom wall,bathroom wall,21.0,1,12.0,wall,wall,Wall,,,,,,,,wall,,wall
135,bathroom window,bathroom window,59.0,9,13.0,window,window,Window,,,,,n04587648,window.n.01,9.0,window,bathroom window,window
136,bathtub,bathtub,136.0,36,7.0,bathtub,bath tub,Objects,bathtub,bathtub,tub,2808440.0,n02808440,bathtub.n.01,25.0,bathtub,bathtub,bathtub
137,bathtub knob,bathtub knob,651.0,40,,shower knob,otherprop,,,,,,,,,misc,,misc
138,bathtub platform,bathtub platform,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,bathtub platform,misc
139,bathtub tap,bathtub tap,9.0,40,7.0,faucet,otherprop,Objects,,,,,,,,objects,,objects
140,bathtub utensil,bathtub utencils,267.0,40,7.0,utensil,otherprop,Objects,,,,,,,40.0,misc,bathtub utensil,misc
141,beam,beam,,38,7.0,,otherstructure,Objects,,,,,n02815950,beam.n.02,29.0,beam,beam,beam
142,bean bag chair,bean bag chair,5.0,5,4.0,chair,chair,Chair,chair,chair,chair,3001627.0,n03001627,chair.n.01,3.0,chair,bean bag chair,chair
143,beanbag,bean bag,797.0,39,6.0,bean bag,otherfurniture,Furniture,,,,,n02816656,beanbag.n.01,3.0,chair,beanbag,chair
144,beanbag chair,beanbag chair,5.0,5,4.0,chair,chair,Chair,chair,chair,chair,3001627.0,n03001627,chair.n.01,3.0,chair,beanbag chair,chair
145,bed,bed,157.0,4,1.0,bed,bed,Bed,bed,bed,bed,2818832.0,n02818832,bed.n.01,11.0,bed,bed,bed
146,bed base,bed base,157.0,4,1.0,bed,bed,Bed,bed,bed,bed,2818832.0,n02818832,bed.n.01,11.0,bed,bed,bed
147,bed cabinet,bed cabinet,158.0,32,6.0,night stand,night stand,Furniture,night_stand,night_stand,,,n03015254,chest_of_drawers.n.01,13.0,chest_of_drawers,bed cabinet,chest_of_drawers
148,bed cabinet lamp,bed cabinet lamp,144.0,35,,lamp,lamp,,,,,,,,,lighting,,lighting
149,bed comforter,bed comforter,484.0,40,7.0,comforter,otherprop,Objects,,,,,,,40.0,misc,bed comforter,misc
150,bed curtain,bed curtain,89.0,16,13.0,curtain,curtain,Window,curtain,,,,,,40.0,misc,bed curtain,misc
151,bed for pet,bed for pet,157.0,4,1.0,bed,bed,Bed,bed,bed,bed,2818832.0,n02818832,bed.n.01,11.0,bed,bed for pet,bed
152,bed ladder,bed ladder,48.0,40,,ladder,otherprop,,,,,,,,,stairs,,stairs
153,bed light,bed light,62.0,38,7.0,light,otherstructure,Objects,,,,,,,40.0,misc,bed light,misc
154,bed sheet,bed sheet,559.0,40,7.0,sheet,otherprop,Objects,,,,,n04188179,sheet.n.03,11.0,bed,bed sheet,bed
155,bed small,bed small,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,bed small,misc
156,bed stand,bed stand,50.0,39,6.0,stand,otherfurniture,Furniture,,,,,,,40.0,misc,bed stand,misc
157,bed table,bed table,19.0,7,10.0,table,table,Table,table,table,table,4379243.0,n04379243,table.n.02,5.0,table,bed table,table
158,bedding,bedding,,40,7.0,,otherprop,Objects,,,,,n02820210,bedclothes.n.01,39.0,objects,bedding,objects
159,bedframe,bedframe,157.0,4,1.0,bed,bed,Bed,,,,,n02822579,bedstead.n.01,11.0,bed,bed frame,bed
160,bedpost,bedpost,,40,7.0,,otherprop,Objects,,,,,n02821415,bedpost.n.01,11.0,bed,bedpost,bed
161,bedroom ceiling,bedroom ceiling,4.0,22,3.0,ceiling,ceiling,Ceiling,,,,,,,40.0,misc,bedroom ceiling,misc
162,bedroom table,bedroom table,158.0,32,6.0,night stand,night stand,Furniture,night_stand,night_stand,,,n03015254,chest_of_drawers.n.01,13.0,chest_of_drawers,,chest_of_drawers
163,bedside cabinet,badside cabinet,158.0,32,6.0,night stand,night stand,Furniture,night_stand,night_stand,,,n03015254,chest_of_drawers.n.01,13.0,chest_of_drawers,,chest_of_drawers
164,bedside cabinet door,bedside cabinet door,28.0,8,12.0,door,door,Wall,door,,,,,,,misc,,misc
165,bedside cabinet drawer,bedside cabinet drawer,174.0,39,6.0,drawer,otherfurniture,Furniture,,,,,,,,chest_of_drawers,,chest_of_drawers
166,bedside lamp,bedside lamp,144.0,35,7.0,lamp,lamp,Objects,lamp,,lamp,3636649.0,n03636649,lamp.n.02,28.0,lighting,bed lamp,lighting
167,bedside table,bedside table,158.0,32,6.0,night stand,night stand,Furniture,night_stand,night_stand,,,,,,chest_of_drawers,,chest_of_drawers
168,beer crate,beer crate,183.0,29,,crate,box,,,,,,,,,misc,,misc
169,bell,bell,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,bell,misc
170,belt,belts,610.0,40,7.0,belt,otherprop,Objects,,,,,,,40.0,misc,belt,misc
171,bench,bench,204.0,39,6.0,bench,otherfurniture,Furniture,bench,,bench,2828884.0,n02828884,bench.n.01,34.0,seating,bench,seating
172,beverage dispenser,hot drinks machine,,40,,,otherprop,,,,,,,,,objects,,objects
173,bicycle,bicycle,189.0,40,7.0,bicycle,otherprop,Objects,,,bicycle,2834778.0,n02834778,bicycle.n.01,39.0,objects,bicycle,objects
174,bicycle helmet,bicycle helmet,337.0,40,,bicycle helmet,otherprop,,,,,,,,,objects,,objects
175,bicycle helmets,bicycle helmets,337.0,40,,bicycle helmet,otherprop,,,,,,,,,objects,,objects
176,bidet,bidet,124.0,33,7.0,toilet,toilet,Objects,toilet,toilet,,,n02836174,bidet.n.01,18.0,toilet,bidet,toilet
177,big bag,big bag,55.0,37,,bag,bag,,,,,,,,,objects,,objects
178,billiard balls,billiard balls,520.0,40,,pool ball,otherprop,,,,,,,,,objects,,objects
179,billiard cue,billiard cue,517.0,40,,pool sticks,otherprop,,,,,,,,,objects,,objects
180,billiard cues,billiard cues,517.0,40,,pool sticks,otherprop,,,,,,,,,objects,,objects
181,bin,bin,307.0,40,7.0,bin,otherprop,Objects,,,,,n02839910,bin.n.01,39.0,objects,bin,objects
182,binder,binder,399.0,40,7.0,binder,otherprop,Objects,,,,,,,40.0,misc,binder,misc
183,binders,binders,399.0,40,7.0,binder,otherprop,Objects,,,,,,,,misc,,misc
184,birdhouse,birdhouse,,40,,,otherprop,,,,,,,,,misc,,misc
185,blackboard,blackboard,225.0,38,7.0,blackboard,otherstructure,Objects,,,,,n02846511,blackboard.n.01,39.0,objects,brackboard,objects
186,blanket,blanket,312.0,40,7.0,blanket,otherprop,Objects,,,,,n02849154,blanket.n.01,39.0,objects,blanket,objects
187,blanket basket,blanket basket,39.0,40,,basket,otherprop,,,,,,,,,objects,,objects
188,blankets,blankets,312.0,40,,blanket,otherprop,,,,,,,,,objects,,objects
189,blinds,blinds,80.0,13,13.0,blinds,blinds,Window,,,,,n04589190,window_blind.n.01,32.0,blinds,blind,blinds
190,blouse,blouse,141.0,21,,clothes,clothes,,,,,,,,,clothes,,clothes
191,board,board,408.0,38,7.0,board,otherstructure,Objects,,,,,,,35.0,board_panel,board,board_panel
192,board game,board game,,40,,,otherprop,,,,,,,,,misc,,misc
193,board games,board games,,40,,,otherprop,,,,,,,,,misc,,misc
194,board with keys,board with keys,408.0,40,,board,otherprop,,,,,,,,,objects,,objects
195,boards,boards,408.0,38,7.0,board,otherstructure,Objects,,,,,,,,board_panel,,board_panel
196,boat model,boat model,789.0,40,,model boat,otherprop,,,,,,,,,misc,,misc
197,boiler,boiler,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,boiler,misc
198,bonsai tree,bonsai tree,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,bonsai tree,misc
199,book,book,1.0,23,2.0,book,books,Books,,,,,n02870526,book.n.11,39.0,objects,book,objects
200,book cabinet,book cabinet,88.0,10,,bookshelf,book shelf,,,,,,,,,cabinet,,cabinet
201,book display,book display,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,book display,misc
202,book rack,book rack,224.0,39,6.0,bookrack,otherfurniture,Furniture,,,,,,,40.0,misc,book rack,misc
203,bookshelf,bookshelf,88.0,10,6.0,bookshelf,book shelf,Furniture,bookshelf,,bookshelf,2871439.0,n02871439,bookshelf.n.01,31.0,shelving,book shape,shelving
204,bookstand,bookstand,88.0,10,6.0,bookshelf,book shelf,Furniture,bookshelf,,,,,,,shelving,,shelving
205,boots,boots,149.0,40,,shoe,otherprop,,,,,,,,,objects,,objects
206,bottle,bottle,2.0,40,7.0,bottle,otherprop,Objects,bottle,,bottle,2876657.0,n02876657,bottle.n.01,39.0,objects,bottle,objects
207,bottle dispenser,bottle dispenser,,40,,,otherprop,,,,,,,,,objects,,objects
208,bottle of detergent,bottle of detergent,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,bottle of detergent,misc
209,bottle of soap,bottle of soap,502.0,40,7.0,bottle of soap,otherprop,Objects,,,,,,,40.0,misc,bottle of  soap,misc
210,bottle of water,bottle of water,685.0,40,,bottle of liquid,otherprop,,,,,,,,,objects,,objects
211,bottle of wine,bottle of wine,333.0,40,,wine bottle,otherprop,,,,,,,,,objects,,objects
212,bottle opener,bottle opener,,40,,,otherprop,,,,,,,,,misc,,misc
213,bottles,bootles,2.0,40,,bottle,otherprop,,,,,,,,,objects,,objects
214,bottles of water,bottles of water,685.0,40,,bottle of liquid,otherprop,,,,,,,,,objects,,objects
215,bottles of wine,bottles of wine,766.0,40,7.0,wine,otherprop,Objects,,,,,,,40.0,misc,bottles of wine,misc
216,bottom of stairs,bottom of stairs,215.0,38,7.0,stairs,otherstructure,Objects,stairs,,,,,,40.0,misc,bottom of stairs,misc
217,bouquet,bouquet,,40,7.0,,otherprop,Objects,,,,,n02879087,bouquet.n.01,39.0,objects,bouquet,objects
218,bowl,bowl,22.0,40,7.0,bowl,otherprop,Objects,bowl,,bowl,2880940.0,n02880940,bowl.n.03,39.0,objects,bowl,objects
219,bowl of fruit,bowl of fruit,22.0,40,7.0,bowl,otherprop,Objects,bowl,,bowl,2880940.0,n02880940,bowl.n.03,39.0,objects,bowl of fruit,objects
220,bowl of fruits,bowl of fruits,22.0,40,7.0,bowl,otherprop,Objects,bowl,,,,,,,objects,,objects
221,bowl of sweets,bowl of sweets,22.0,40,7.0,bowl,otherprop,Objects,bowl,,,,,,,objects,,objects
222,bowl with sweets,bowl with sweets,22.0,40,7.0,bowl,otherprop,Objects,bowl,,,,,,,objects,,objects
223,bowls,bowls,22.0,40,7.0,bowl,otherprop,Objects,bowl,,,,,,,objects,,objects
224,box,box,26.0,29,7.0,box,box,Objects,,,,,n02883344,box.n.01,39.0,objects,box,objects
225,box of food,box of food,26.0,29,7.0,box,box,Objects,,,,,,,,misc,,misc
226,box of fruit,box of fruit,286.0,40,7.0,fruit,otherprop,Objects,,,,,,,40.0,misc,box of fruit,misc
227,box of paper,box of paper,503.0,29,,box of paper,box,,,,,,,,,misc,,misc
228,box of something,box of something,26.0,29,7.0,box,box,Objects,,,,,,,,misc,,misc
229,box of tissue,box of tissue,648.0,40,7.0,tissue,otherprop,Objects,,,,,,,40.0,misc,box of tissue,misc
230,box of tissues,box of tissues,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,box of  tissues,misc
231,box pen,box pen,190.0,29,,pen box,box,,,,,,,,,misc,,misc
232,box with books,box with books,26.0,29,7.0,box,box,Objects,,,,,,,,misc,,misc
233,box with jewelry,box with jewellery,26.0,29,7.0,box,box,Objects,,,,,,,,misc,,misc
234,box with photos,box with photos,26.0,29,7.0,box,box,Objects,,,,,,,,misc,,misc
235,box with shoes,box /w shoes,26.0,29,7.0,box,box,Objects,,,,,,,,misc,,misc
236,box with tea,box with tea,879.0,29,,tea box,box,,,,,,,,,misc,,misc
237,box with toys,box /w toys,496.0,29,,toys box,box,,,,,,,,,misc,,misc
238,boxes,boxes,26.0,29,7.0,box,box,Objects,,,,,,,,objects,,objects
239,boxes with books,boxes /w books,26.0,29,7.0,box,box,Objects,,,,,,,,misc,,misc
240,boxing ring,boxing ring,,39,,,otherfurniture,,,,,,,,,objects,,objects
241,bread,bread,246.0,40,7.0,bread,otherprop,Objects,,,,,n07679356,bread.n.01,40.0,misc,bread,misc
242,bread bin,bread bin,307.0,40,,bin,otherprop,,,,,,,,,misc,,misc
243,bread box,bread box,26.0,29,7.0,box,box,Objects,,,,,,,,misc,,misc
244,breadbox,breadbox,26.0,29,7.0,box,box,Objects,,,,,,,,misc,,misc
245,bricks,bricks,695.0,40,,brick,otherprop,,,,,,,,,misc,,misc
246,bridge,bridge,,40,,,otherprop,,,,,,,,,misc,,misc
247,briefcase,briefcase,617.0,40,7.0,briefcase,otherprop,Objects,,,,,n02900705,briefcase.n.01,39.0,objects,breifcase,objects
248,brochure,brochure,69.0,40,7.0,folder,otherprop,Objects,,,,,n06413889,booklet.n.01,39.0,objects,brochure,objects
249,brochures,brochures,,40,,,otherprop,,,,,,,,,objects,,objects
250,broom,push broom,328.0,40,7.0,broom,otherprop,Objects,,,,,n02906734,broom.n.01,39.0,objects,broom,objects
