Category Tag,# of Scenes,# of Regions,Regions per Scene,# of Instances,Mean Instances per Scene,Mean Instances per Region,GT Name (if specified),Bathroom,Bedroom,Dining room,Garage,Hall/stairwell,Kitchen,Laundry room,Living room,Office,Rec room,Unknown room
bathroom art,5,6,1.2,10,2.0,1.6666666666666667,bathroom,58,0,0,0,0,0,0,0,0,0,99
bathroom cabinet,94,173,1.8404255319148937,238,2.5319148936170213,1.3757225433526012,bathroom,1129,7,0,0,2,1,4,0,1,1,2525
bathroom cabinet door,1,1,1.0,2,2.0,2.0,bathroom,5,0,0,0,0,0,0,0,0,0,12
bathroom cabinet drawer,1,2,2.0,2,2.0,1.0,bathroom,15,0,0,0,0,0,0,0,0,0,21
bathroom counter,25,44,1.76,46,1.84,1.0454545454545454,bathroom,332,0,0,0,0,0,1,0,0,0,658
bathroom floor,2,3,1.5,5,2.5,1.6666666666666667,bathroom,26,0,0,0,0,0,0,0,0,0,55
bathroom glass,1,1,1.0,3,3.0,3.0,bathroom,8,0,0,0,0,0,0,0,0,0,23
bathroom mat,1,1,1.0,2,2.0,2.0,bathroom,4,0,0,0,0,0,0,0,0,0,21
bathroom rug,2,2,1.0,5,2.5,2.5,bathroom,16,0,0,0,0,0,1,0,0,0,34
bathroom shelf,36,52,1.4444444444444444,73,2.0277777777777777,1.4038461538461537,bathroom,344,1,0,0,0,1,6,0,1,0,806
bathroom stuff,1,1,1.0,2,2.0,2.0,bathroom,3,1,0,0,0,0,1,0,0,0,16
bathroom towel,30,47,1.5666666666666667,92,3.066666666666667,1.9574468085106382,bathroom,320,1,0,0,2,0,4,0,0,0,661
bathroom utensil,26,43,1.6538461538461537,159,6.115384615384615,3.697674418604651,bathroom,305,2,0,0,0,2,2,0,0,0,682
bathroom utensils,1,1,1.0,4,4.0,4.0,bathroom,6,0,0,0,0,0,0,0,0,0,20
bathroom wall,1,1,1.0,12,12.0,12.0,bathroom,4,0,0,0,0,0,0,0,0,0,8
bathroom window,3,3,1.0,4,1.3333333333333333,1.3333333333333333,bathroom,28,0,0,0,0,0,1,0,0,0,59
bathtub,137,190,1.3868613138686132,190,1.3868613138686132,1.0,bathroom,1218,12,0,0,4,7,3,3,2,0,3113
bathtub knob,1,1,1.0,1,1.0,1.0,bathroom,9,0,0,0,0,0,0,0,0,0,15
bathtub platform,9,9,1.0,15,1.6666666666666667,1.6666666666666667,bathroom,72,0,0,0,0,0,0,0,0,0,155
bathtub tap,1,1,1.0,1,1.0,1.0,bathroom,7,0,0,0,0,0,0,0,0,0,16
bathtub utensil,11,13,1.1818181818181819,20,1.8181818181818181,1.5384615384615385,bathroom,102,0,0,0,0,0,0,0,1,0,245
beam,40,114,2.85,529,13.225,4.640350877192983,,38,47,10,15,33,64,4,55,28,17,2764
bean bag chair,4,4,1.0,4,1.0,1.0,,0,7,0,0,1,0,0,0,5,2,98
beanbag,4,5,1.25,12,3.0,2.4,,0,3,0,0,0,0,0,2,2,0,103
beanbag chair,3,4,1.3333333333333333,4,1.3333333333333333,1.0,,0,5,0,0,0,2,0,1,4,2,94
bed,201,621,3.08955223880597,715,3.557213930348259,1.1513687600644122,bedroom,84,1346,3,3,13,25,2,71,232,14,11996
bed base,1,1,1.0,1,1.0,1.0,bedroom,0,2,0,0,0,0,0,0,0,0,11
bed cabinet,4,4,1.0,4,1.0,1.0,bedroom,0,12,0,0,0,0,0,0,0,0,73
bed cabinet lamp,1,1,1.0,1,1.0,1.0,bedroom,0,3,0,0,0,0,0,0,0,0,16
bed comforter,8,14,1.75,16,2.0,1.1428571428571428,bedroom,0,46,0,0,0,0,0,2,0,0,223
bed curtain,4,6,1.5,6,1.5,1.0,bedroom,0,18,0,0,0,0,0,2,1,0,133
bed for pet,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,1,0,0,14
bed ladder,1,1,1.0,1,1.0,1.0,bedroom,0,4,0,0,0,0,0,0,0,0,16
bed light,3,3,1.0,3,1.0,1.0,bedroom,0,9,0,0,0,0,0,0,2,0,47
bed sheet,3,4,1.3333333333333333,8,2.6666666666666665,2.0,bedroom,0,12,0,0,0,0,0,0,2,0,71
bed small,4,4,1.0,4,1.0,1.0,bedroom,0,9,0,0,0,1,0,2,2,0,87
bed stand,6,14,2.3333333333333335,21,3.5,1.5,bedroom,0,41,0,0,1,0,0,3,12,0,274
bed table,30,62,2.066666666666667,103,3.433333333333333,1.6612903225806452,bedroom,0,168,0,0,1,0,1,8,20,0,1178
bedding,1,1,1.0,2,2.0,2.0,bedroom,0,3,0,0,0,0,0,0,0,0,19
bedframe,12,13,1.0833333333333333,15,1.25,1.1538461538461537,bedroom,0,48,0,0,2,0,0,1,6,0,277
bedpost,1,1,1.0,4,4.0,4.0,bedroom,0,3,0,0,0,0,0,0,0,0,19
bedroom ceiling,6,8,1.3333333333333333,8,1.3333333333333333,1.0,bedroom,9,24,0,0,0,0,0,0,0,0,130
bedroom table,1,1,1.0,1,1.0,1.0,bedroom,0,2,0,0,0,0,0,0,0,0,37
bedside cabinet,13,27,2.076923076923077,38,2.923076923076923,1.4074074074074074,bedroom,8,84,0,0,0,0,1,4,9,0,587
bedside cabinet door,1,1,1.0,4,4.0,4.0,bedroom,0,5,0,0,0,0,0,0,0,0,14
bedside cabinet drawer,1,2,2.0,3,3.0,1.5,bedroom,0,9,0,0,0,0,0,0,1,0,37
bedside lamp,47,95,2.021276595744681,143,3.0425531914893615,1.5052631578947369,bedroom,0,313,0,0,0,0,0,12,23,1,1681
bedside table,10,18,1.8,27,2.7,1.5,bedroom,32,42,0,0,1,0,0,4,6,0,435
beer crate,1,1,1.0,2,2.0,2.0,,1,0,0,0,0,0,0,0,0,0,47
bell,2,2,1.0,2,1.0,1.0,,0,2,0,0,0,7,0,0,1,0,43
belt,2,2,1.0,2,1.0,1.0,,0,2,0,0,0,0,0,0,0,0,41
bench,62,95,1.532258064516129,130,2.096774193548387,1.368421052631579,,33,58,5,0,18,69,4,29,19,10,2199
beverage dispenser,1,2,2.0,2,2.0,1.0,,0,2,0,0,0,0,0,0,1,0,58
bicycle,12,13,1.0833333333333333,27,2.25,2.076923076923077,,0,4,0,15,5,9,4,2,6,1,432
bicycle helmet,1,1,1.0,1,1.0,1.0,,0,1,0,0,1,0,0,0,0,0,22
bicycle helmets,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,0,0,0,41
bidet,15,22,1.4666666666666666,22,1.4666666666666666,1.0,bathroom,142,1,0,0,0,0,0,0,0,0,320
big bag,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,0,0,0,20
billiard balls,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,2,0,1,21
billiard cue,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,1,0,2,0,3,31
billiard cues,1,1,1.0,2,2.0,2.0,,0,0,0,0,0,0,0,2,0,1,21
bin,58,158,2.7241379310344827,189,3.2586206896551726,1.1962025316455696,,290,78,2,2,3,103,13,26,74,6,3490
binder,9,13,1.4444444444444444,64,7.111111111111111,4.923076923076923,,1,7,0,0,1,0,0,3,21,3,324
binders,2,3,1.5,8,4.0,2.6666666666666665,,0,0,0,0,0,0,0,1,7,1,101
birdhouse,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,0,1,0,27
blackboard,4,4,1.0,4,1.0,1.0,,0,3,0,0,0,7,1,2,3,0,144
blanket,119,230,1.9327731092436975,336,2.823529411764706,1.4608695652173913,,25,248,17,7,24,95,12,142,74,13,5849
blanket basket,1,1,1.0,1,1.0,1.0,,0,0,2,0,0,0,0,0,0,0,16
blankets,3,4,1.3333333333333333,8,2.6666666666666665,2.0,,0,6,0,0,0,0,0,2,5,1,123
blinds,73,191,2.6164383561643834,333,4.561643835616438,1.743455497382199,,114,172,20,1,21,181,6,87,66,11,4196
blouse,1,1,1.0,2,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,32
board,58,121,2.086206896551724,206,3.5517241379310347,1.7024793388429753,,20,69,17,12,8,118,13,27,73,5,3233
board game,7,9,1.2857142857142858,34,4.857142857142857,3.7777777777777777,,0,5,0,0,1,3,0,12,1,1,296
board games,2,2,1.0,4,2.0,2.0,,0,1,0,0,0,0,0,3,1,0,56
board with keys,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,0,1,0,87
boards,3,3,1.0,3,1.0,1.0,,0,0,0,4,2,0,1,0,0,0,123
boat model,1,1,1.0,3,3.0,3.0,,0,3,0,0,0,0,0,0,0,0,21
boiler,22,24,1.0909090909090908,30,1.3636363636363635,1.25,,1,3,0,16,6,13,8,0,0,5,624
bonsai tree,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,1,0,0,19
book,159,457,2.8742138364779874,2434,15.30817610062893,5.326039387308534,,37,409,27,3,35,305,14,247,272,27,11862
book cabinet,2,3,1.5,4,2.0,1.3333333333333333,,4,3,0,0,0,0,0,1,2,0,84
book display,4,6,1.5,40,10.0,6.666666666666667,,0,5,0,0,0,3,0,1,6,0,178
book rack,17,28,1.6470588235294117,42,2.4705882352941178,1.5,,0,15,7,0,1,23,0,15,31,3,817
bookshelf,39,61,1.564102564102564,109,2.7948717948717947,1.7868852459016393,,3,64,3,0,5,4,1,27,44,3,1436
bookstand,1,2,2.0,2,2.0,1.0,,0,0,0,0,0,0,0,2,2,0,48
boots,4,4,1.0,4,1.0,1.0,,0,3,0,0,1,0,0,2,1,0,112
bottle,85,142,1.6705882352941177,407,4.788235294117647,2.8661971830985915,,136,41,16,20,12,232,15,37,47,4,3869
bottle dispenser,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,0,0,0,10
bottle of detergent,32,45,1.40625,162,5.0625,3.6,,64,5,4,15,8,62,17,2,3,1,1314
bottle of soap,27,34,1.2592592592592593,43,1.5925925925925926,1.2647058823529411,,138,0,2,0,2,40,2,1,0,0,673
bottle of water,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,4,0,0,0,0,21
bottle of wine,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,4,0,0,1,0,54
bottle opener,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,3,0,0,0,0,40
bottles,10,14,1.4,46,4.6,3.2857142857142856,,0,1,0,0,1,16,0,3,2,0,407
bottles of water,1,1,1.0,1,1.0,1.0,,0,4,0,0,0,0,0,0,0,0,26
bottles of wine,5,6,1.2,8,1.6,1.3333333333333333,,0,3,4,0,1,28,0,3,0,0,195
bottom of stairs,1,2,2.0,2,2.0,1.0,,0,0,0,0,4,0,0,0,0,0,22
bouquet,13,22,1.6923076923076923,29,2.230769230769231,1.3181818181818181,,37,10,0,0,1,16,0,7,1,0,441
bowl,78,116,1.4871794871794872,185,2.371794871794872,1.5948275862068966,,7,22,22,5,20,309,16,65,34,3,3304
bowl of fruit,36,39,1.0833333333333333,47,1.3055555555555556,1.205128205128205,,1,3,11,0,3,201,3,21,7,0,1085
