Scene,Region,# of Tags,Relevant Tags in Region (Excluding : window;ceiling;floor;door;unknown;wall;window frame)
00009-vLpv2VX547B,1,30,lamp;picture;bath towel;heater;mirror;platform;cabinet;storage box;tissue box;bottle;cardboard box;bottle of soap;sink;device;tap;soap dispenser;soap;cup;shower soap shelf;soap bottle;shower;rug;shower floor;mat
00009-vLpv2VX547B,2,4,picture
00009-vLpv2VX547B,3,13,cabinet;toilet;paper towel;button;box of tissues;cardboard;paper towel dispenser;picture
00009-vLpv2VX547B,4,31,lamp;mirror;wardrobe;calendar;toy;curtain;cart;picture;guitar;crib;armchair;cardboard;desk;casket;cabinet;cup;towel;ball;bed;pillow;plush toy;blanket;bag;hanger;bottle;backpack
00009-vLpv2VX547B,5,5,picture;lamp
00009-vLpv2VX547B,6,4,Only contains ignored tags : ceiling;floor;wall;door
00009-vLpv2VX547B,7,43,cabinet;table;pouffe;couch;pillow;drum;picture;curtain rod;curtain;wall clock;device;kitchen cabinet;stovetop;kitchen top;paper towel;wall cabinet;refrigerator;kitchen counter;kitchen counter support;chair;sink;washing machine;toaster;coffee machine;lamp;liquid soap;tap;microwave;tv;vase;flowerpot;ornament;speaker;tray;bottle;case;cup;ventilation
00009-vLpv2VX547B,8,12,ventilation;lamp;picture;hanger;cabinet;hat
00009-vLpv2VX547B,9,17,lamp;curtain;wardrobe;ventilation;picture;mirror frame;shelf;cabinet;bed;blanket;board;device
00009-vLpv2VX547B,10,18,lamp;picture;chair;paper;box;case;clutter;newspaper;ornament;speaker;cabinet;keyboard piano;bookshelf;book
00009-vLpv2VX547B,11,5,wardrobe
00009-vLpv2VX547B,12,30,picture;armchair;cabinet;heater;ornament;table;pouffe;tv;casket;clutter;box;book;tv stand;pillow;plant;stand;l-shaped sofa;vase;stairs;vacuum cleaner;basket;tissue box;newspaper;device
00009-vLpv2VX547B,13,25,picture;bathroom towel;bathroom shelf;heater;shower floor;rug;shampoo;shower tap;mirror;device;brush;cup;bathroom cabinet;sink;bin;box of tissues;jar;hanger;lamp
00009-vLpv2VX547B,14,32,lamp;picture;wardrobe;chair;jacket;flowerpot;plant;heater;laptop;computer;printer;stack of papers;sculpture;computer desk;computer mouse;bottle;tool box;box;ornament;cabinet;tray;kitchen appliance;casket;hat;clutter;rug;kitchen table
00009-vLpv2VX547B,15,26,lamp;range hood;oven;picture;bottle;toaster;coffee machine;cup;kitchen cabinet;tray;paper towel;food tray;sink;soap dispenser;scale;kitchen appliance;plant;food;kitchen counter;stovetop;tap
00009-vLpv2VX547B,16,19,lamp;wardrobe;shelf;power breaker box;handle;broom;shovel;box;cabinet;basket of something;bottle;storage box;storage cabinet;case
00009-vLpv2VX547B,17,5,mirror;picture
00009-vLpv2VX547B,18,5,vacuum cleaner;armchair
00009-vLpv2VX547B,19,26,air conditioning;picture;bed;lamp;curtain;device;desk lamp;hat;flower;flower stand;dresser;box;cabinet;toy;frame;cup;bottle;shelf;clutter;storage cabinet;ornament;hanger
00009-vLpv2VX547B,20,14,wardrobe;pouffe;device;air conditioning;armchair;couch;chair;table
00009-vLpv2VX547B,21,22,lamp;picture;stuffed animal;chest;decoration;pouffe;tv;toy;cabinet;pillow;chair;box;clutter;storage cabinet;clothes;railing
00009-vLpv2VX547B,22,20,ceiling window;lamp;picture;air conditioning;mirror;hanger;flower;flower vase;chest;box;bed;bag;cabinet;pillow;device
00009-vLpv2VX547B,23,23,pillow;blanket;bed;bedside table;hat;box;curtain;chair;storage cabinet;picture;wardrobe;clutter;cardboard box;flower stand;flower;air conditioning;curtain rod;mirror
00016-qk9eeNeR4vw,1,15,mirror;flower vase;book;coffee table;armchair;pillow;sofa seat;cabinet;table;floor lamp;frame
00016-qk9eeNeR4vw,2,11,picture frame;door frame;picture;candle;frame
00016-qk9eeNeR4vw,3,25,bedside lamp;bed;footrest;door stopper;door frame;armchair;led tv;shelf;record player;decorative plant;decoration;chandelier;clock;light;window shutter;telephone;bed table;picture;pillow
00016-qk9eeNeR4vw,4,20,perfume;clock;light;liquid soap;shower cabin;shower tap;toilet paper;trash can;toilet;flower vase;tap;sink;shower floor;bathroom cabinet
00016-qk9eeNeR4vw,5,17,ceiling lamp;refrigerator;kitchen island;dishwasher;microwave;decorative plant;sink;coffee mug;kitchen cabinet;oven;cup;frame;plant;lamp
00016-qk9eeNeR4vw,6,43,chandelier;photo;rug;coffee table;couch;led tv;wall lamp;wall panel;plant;vase;table;doormat;wall clock;chair;decorative bowl;fruit;mug;frame;window shutter;calendar;elephant sculpture;flower;high shelf;telephone;monitor;computer desk;cabinet;printer;shelf;book;blanket;tray;decoration;speaker;pillow;door frame;picture
00016-qk9eeNeR4vw,7,14,chandelier;cabinet;dishwasher;grill;sink;patio chair;table;frame;mat
00016-qk9eeNeR4vw,8,14,picture;frame;clock;curtain;bed;pillow;bedside lamp;cabinet;ceiling lamp
00016-qk9eeNeR4vw,9,8,photo;ventilation;wall lamp;door frame;frame
00016-qk9eeNeR4vw,10,13,door handle;cabinet;handle;tap;sink;washing machine;laundry basket;electric wire;floor mat
00016-qk9eeNeR4vw,11,15,picture;curtain;closet mirror wall;bed;pillow;blanket;lamp table;nightstand;perfume
00016-qk9eeNeR4vw,12,28,chandelier;wall clock;closet mirror wall;curtain;picture;chair;cabinet;blanket;liquid soap;tissue box;towel;box;toy;book;lamp;trashcan;container;bed;pillow;diploma;cup;rug
00016-qk9eeNeR4vw,13,25,picture;lamp;towel;bath;tap;flower;box of tissue;shelf;toilet;toilet paper;toilet paper dispenser;hand soap;shower-bath cabinet;shampoo;cabinet;sink;mirror;plant
00017-oEPjPNSPmzL,0,21,ceiling lamp;blanket;pillow;couch;blinds;window glass;picture;electric heater;decorative plant;basket;tv;speaker;tv stand;rack;appliance;table
00017-oEPjPNSPmzL,1,37,cabinet;ceiling vent;kitchen wall;door frame;kitchen countertop item;stool;kitchen island;kitchen cabinet;kitchen extractor;kitchen lower cabinet;dishwasher;faucet;clutter;sink;kitchen appliance;bottle of detergent;kitchen utensil;kitchen counter;kitchen countertop items;microwave;washcloth;oven and stove;clock;trashcan;blinds;window glass;wall electronics;decorative plant;refrigerator;basket of something;vacuum cleaner;table
00017-oEPjPNSPmzL,2,6,ceiling lamp;door frame
00017-oEPjPNSPmzL,3,18,ceiling molding;ceiling lamp;door frame;socket;washer-dryer;sink;hot water/cold water knob;basket of something;bottle of detergent;bathroom utensil;decorative plant;cabinet clutter;appliance;storage cabinet
00017-oEPjPNSPmzL,4,10,ceiling lamp;rug;toilet;toilet paper;cosmetics;window glass
00017-oEPjPNSPmzL,5,25,ceiling lamp;ceiling vent;rug;hot water/cold water knob;bathtub utensil;bathtub;bath wall;decorative plant;cosmetics;cabinet;bath towel;blinds;window glass;bathroom utensil;cosmetic;shower cabin;shower wall;sink cabinet;mirror
00017-oEPjPNSPmzL,6,12,ceiling vent;ceiling lamp;pillow;bed;fan;blinds
00017-oEPjPNSPmzL,7,21,ceiling lamp;ceiling vent;nightstand;pillow;bed;window glass;decoration;blinds;casket;mirror;cabinet;decorative plant;pot;wall tv;shelf;door frame
00017-oEPjPNSPmzL,8,23,ceiling vent;ceiling lamp;book;bookshelf;wardrobe;window glass;bicycle;laptop;box of something;electric heater;picture;printer;side table;desk clutter;cabinet;desk chair;rug;desk
00020-XYyR54sxe6b,1,11,doormat;wardrobe;cabinet;door frame;lamp;art frame
00020-XYyR54sxe6b,2,15,radiator;clock;stairs;stairs railing;banister;wall board;ceiling lamp;smoke alarm;device;decoration
00020-XYyR54sxe6b,3,21,radiator;painting;cabinet;tv;couch;pillow;table;sofa seat;mirror;curtain rail;curtain;door frame;ceiling lamp;furnace
00020-XYyR54sxe6b,4,15,toilet;radiator;shower wall;shower floor;shower ceiling;ceiling lamp;mirror;door frame;towel;shower door;shower bar
00020-XYyR54sxe6b,5,21,curtain;curtain rail;radiator;table;shelf;painting;cabinet;chair;door frame;beam;furnace;step;flower vase;ceiling lamp
00020-XYyR54sxe6b,6,28,door frame;trashcan;radiator;cabinet;shelf;table;microwave;washing machine;washer-dryer;dishwasher;kettle;cutting board;sink;faucet;curtain;painting;chair;paper towel;oven;stove;lamp
00020-XYyR54sxe6b,7,8,door frame;radiator;lamp
00020-XYyR54sxe6b,8,16,wardrobe;door frame;curtain;shelf;bed;pillow;cabinet;art frame;ceiling lamp
00020-XYyR54sxe6b,9,14,radiator;mirror;wardrobe;cabinet;lamp;bed;pillow;ceiling lamp
00020-XYyR54sxe6b,10,21,cabinet;painting;mirror;sink;towel;bathtub;curtain rail;curtain;trashcan;shower bar;toilet;toilet brush;attic door;lamp;door frame
00020-XYyR54sxe6b,11,8,shelf;trashcan;clothes hanger;attic door;door frame
00022-gmuS7Wgsbrx,0,13,carpet;painting;fan;bed;cabinet;bedside lamp;dresser;mirror;ceiling lamp
00022-gmuS7Wgsbrx,1,7,mirror;sink cabinet;door frame;lamp
00022-gmuS7Wgsbrx,2,8,door frame;shower curtain;toilet;plunger;bathroom cabinet
00022-gmuS7Wgsbrx,3,21,carpet;fan;bed;pillow;bed light;bed table;desk;desk chair;bin;decoration;picture;book rack;book;cardboard box;plush toy;pouffe;door frame
00022-gmuS7Wgsbrx,4,12,carpet;fan;mirror;dresser;bin;bed;pillow;ceiling lamp
00022-gmuS7Wgsbrx,5,9,sink cabinet;rug;mirror;door frame;sink
00022-gmuS7Wgsbrx,6,8,toilet;toilet brush;shower curtain;shower cabin
00022-gmuS7Wgsbrx,7,14,carpet;door frame;tv;table;bed;cabinet;lamp;pillow;wardrobe;fire alarm
00022-gmuS7Wgsbrx,8,14,carpet;chair;desk;decoration;desk chair;computer;screen;printer;ceiling duct;ceiling lamp
00022-gmuS7Wgsbrx,9,15,ceiling dome;painting;carpet;handrail;stair;stair step;stairs railing;stair wall;platform;door frame;ceiling lamp;fire alarm
00022-gmuS7Wgsbrx,10,11,decoration;table;pouffe;mirror;wall panel;ceiling lamp;fire alarm
00022-gmuS7Wgsbrx,11,14,rug;mirror;decoration;cabinet;lamp;pouffe;flower vase;sofa seat;pillow
00022-gmuS7Wgsbrx,12,35,rug;decoration;door frame;dining table;flower vase;dining chair;sofa seat;pillow;table;speaker;basket of something;tv;vase;flowerpot;book;appliance;kitchen counter;kitchen lower cabinet;kitchen cabinet;kitchen countertop item;sink;kettle;kitchen extractor;refrigerator cabinet;oven;stovetop;microwave;dishwasher;refrigerator;stool
00022-gmuS7Wgsbrx,13,10,fluorescent light;laundry machine;cabinet;sink;bag;door frame
00022-gmuS7Wgsbrx,14,7,door frame;wall panel;painting
00022-gmuS7Wgsbrx,15,12,toilet;towel;decoration;toilet paper dispenser;toilet brush holder;rug;cabinet;mirror
00022-gmuS7Wgsbrx,16,6,rug;door frame
00022-gmuS7Wgsbrx,17,20,carpet;fan;chair;desk chair;desk;wall clock;book rack;basket;rack;printer;bag;monitor;laptop;painting;flowerpot;book
00022-gmuS7Wgsbrx,18,21,rug;pillar;bathroom cabinet;flowerpot;sink;mirror;bathtub platform;bathtub;candle;shower-bath cabinet;shower wall;shower pipe;shower tap;scale;bottle of soap;door frame
00022-gmuS7Wgsbrx,19,8,wall panel;toilet;toilet paper dispenser;toilet brush
00022-gmuS7Wgsbrx,20,4,carpet;door frame
00022-gmuS7Wgsbrx,21,12,carpet;chair;mirror;clothes rack;fluorescent light;shoe;clothes;case;bag
00022-gmuS7Wgsbrx,22,20,carpet;ceiling wall;fan;wall panel;bed;cabinet;lamp;dresser;mirror;flower vase;pillow;desk;desk chair;tissue box;box;decoration
00022-gmuS7Wgsbrx,23,5,wall panel;decoration
00022-gmuS7Wgsbrx,24,24,fan;beam;pillar;wall panel;sofa seat;sofa chair;table;plant;candle;flowerpot;pillow;grill;barbecue;chair;pot;bag;chest;roof;rug
00023-zepmXAdrpjR,0,21,door frame;basket;decoration;dresser;ladder;bed stand;lamp;pillow;bed;armchair;heater;rug;curtain rail;curtain;wardrobe
00023-zepmXAdrpjR,1,7,lamp;door frame;wardrobe
00023-zepmXAdrpjR,2,20,ventilation;lamp;sink;tap;bathroom cabinet;toilet;toilet brush;bathroom shelf;basket;liquid soap;mirror;shower hose;shower door frame;shower floor
00023-zepmXAdrpjR,3,28,bath towel;heater;trash can;toilet;toilet brush;rug;box of tissues;basket;rack;shelf;bathroom accessory;bathtub;laundry basket;bathroom shelf;sink;mirror;lamp;glass;window shutter;shower hose/head;tap
00023-zepmXAdrpjR,4,17,lamp;picture;bed stand;sofa chair;stair step;pouffe;decoration;pillow;bed;heater;curtain rail;curtain
00023-zepmXAdrpjR,5,24,stair step;door frame;wall lamp;wardrobe;pillow;bed;chair;table;stand;lamp;heater;rug;basket;book;wall cabinet;curtain rail;curtain;door/window;door/window frame
00023-zepmXAdrpjR,6,16,mirror;picture;pillow;chair;cardboard box;hanger;bed;lamp;bed stand;curtain;rug;rack
00023-zepmXAdrpjR,7,28,lamp;window shutter;range hood;kitchen shelf;microwave;pillow;chair;recycle bin;refrigerator;door frame;ventilation;kitchen wall;kitchen utensil;oven and stove;kitchen cabinet;tap;kitchen appliance;sink;tray;coffee machine;teapot;kitchen top
00023-zepmXAdrpjR,8,28,ceiling door;washer-dryer;washing machine;board;shelf;cloth;washing stuff;clutter;bag;tray;cardboard box;bottle;cabinet;vacuum cleaner;broom;mop;curtain;ironing board;container;washcloth;rack;picture;curtain rail
00023-zepmXAdrpjR,9,40,bowl;chair;table;basket of something;bar;decoration;lamp;table stand;pillow;candle;basket;seat;ventilation hood;fireplace;fireplace wall;fireplace utensil;couch;plate;plate of food;heater;curtain;curtain rail;door frame;plant;flowerpot;blanket;container;rack;rug;carpet;firewood;fireplace tool set;platform
00023-zepmXAdrpjR,10,22,bar;heater;stand;lamp;tv;device;decoration;cabinet;pillow;sofa chair;rug;l-shaped sofa;curtain;door frame;curtain rail
00023-zepmXAdrpjR,11,19,vase;flowerpot;flower;chair;wall /outside;table;pillow;folding chair;doormat;grill;window shutters;stair step;recessed wall;roof;floor /outside
00025-ixTj1aTMup2,0,17,door window;armchair;plant;chest of drawers;picture;wall lamp;table;mirror;pillow;towel;bed;speaker;lamp
00025-ixTj1aTMup2,1,13,mirror;chest of drawers;blanket;pillow;shelf;fan;hanger;pipe;lamp
00025-ixTj1aTMup2,2,16,closet;chair;door window;shelf;flowerpot;plant;table;lamp;bed;pillow;newspaper
00025-ixTj1aTMup2,3,12,door window;shelf;trashcan;office chair;office table;board;lamp
00025-ixTj1aTMup2,4,21,cabinet;toilet paper dispenser;toilet brush;toilet paper;toilet;button;bathroom cabinet;bath sink;lamp;mirror;shower door frame;shower hose;showerhead;shower;shower floor;brochure;trashcan
00025-ixTj1aTMup2,5,5,lamp;railing;stairs
00025-ixTj1aTMup2,6,29,shelf;toilet paper;cosmetics;soapbox;button;bathtub;bath wall;cosmetic;bath faucet;shower hose;shower knob;shower pipe;showerhead;trashcan;toilet;toilet brush;toilet paper dispenser;bathroom cabinet;sink;mirror;wall lamp;radiator;carpet;scale
00025-ixTj1aTMup2,7,9,bookshelf;book;alarm;elevator;wall lamp
00025-ixTj1aTMup2,8,19,button;toilet;toilet paper;towel;toilet paper dispenser;trashcan;shelf;plant;flowerpot;mirror;radiator;bathroom counter;sink;lamp
00025-ixTj1aTMup2,9,5,elevator;wall lamp
00025-ixTj1aTMup2,10,53,chest of drawers;vase;plant;decoder;remote control;tv;candle;picture;lamp;telephone;alarm;fan;wall lamp;door window;coffee table;plate of food;couch;pillow;curtain;table;chair;plate;cup;vacuum cleaner;kitchen cabinet;oven;kitchen counter;sink;coffee machine;microwave;cooker;pot;kitchen utensil;towel;bottle;kitchen countertop items;bar chair;pipe;brochure;jar;food tray;trashcan;range hood;clock;box;cabinet;book
00025-ixTj1aTMup2,11,21,elevator;wall lamp;picture;kitchen cabinet;kitchen utensil;kitchen counter;cooker;plate;sink;towel;pipe;couch;pillow;brochure;book;door window;curtain;curtain rod
00025-ixTj1aTMup2,12,20,wall lamp;mirror;chair;closet;nightstand;brochure;cabinet;candle;plant;shelf;bed;towel;newspaper;pillow;door window;curtain
00025-ixTj1aTMup2,13,19,closet;picture;chest of drawers;plant;brochure;wall lamp;nightstand;book;bed;newspaper;towel;pillow;mirror
00025-ixTj1aTMup2,14,5,stairs
00025-ixTj1aTMup2,15,24,lamp;alarm;can;radiator;button;toilet;toilet paper;towel;toilet brush;trashcan;bath tub;bathtub utensil;shower hose;showerhead;shower wall;sink;mirror;shelf;toilet paper dispenser
00031-Wo6kuutE9i7,0,14,bedroom ceiling;picture;cabinet;mirror;lamp;book;bed;cushion;sensor
00031-Wo6kuutE9i7,1,15,ceiling bedroom;mirror;picture;clock;bed;cabinet;tv;record player;lamp;sensor
00031-Wo6kuutE9i7,2,25,shower wall;picture;cabinet;flower vase;tray;perfume;shower handle;showerhead;shampoo;towel bar;towel;toilet;toilet paper;toilet paper dispenser;bath cabinet;weight;bath sink;tap;liquid soap;shower floor;lamp
00031-Wo6kuutE9i7,3,14,clock;door frame;mirror;dresser;flower vase;candlestick;wall cabinet;lamp;sensor
00031-Wo6kuutE9i7,4,4,lamp
00031-Wo6kuutE9i7,5,24,refrigerator;kitchen cabinet;microwave;oven;picture;door frame;ventilation hood;kettle;coffee machine;stovetop;kitchen top;cabinet;dishwasher;cabinet kitchen;tray;flower vase;chair;sensor;lamp
00031-Wo6kuutE9i7,6,16,picture;antique clock;dresser;picture frame;flower vase;candle;vase;table;chair;candlestick;lamp;armchair;basket
00031-Wo6kuutE9i7,7,22,picture;couch;speaker;table;book;lamp;cushion;flower vase;basket;clock;rail;mirror;air conditioning;window curtain;dresser;tv;vase
00031-Wo6kuutE9i7,8,15,floor /outside;fence;bench;vase;flower vase;chair;table;balustrade;canopy;armchair;lamp;door frame
00033-oPj9qMxrDEa,0,16,mirror;door frame;cabinet;candle;clothes hanger;set of hangers;stack of clothes;box;doormat;figurine;lamp;decoration
00033-oPj9qMxrDEa,1,62,shelf;can;jar;kitchen appliance;kettle;coffee machine;drawer;box;trashcan;refrigerator cabinet;cabinet;oven;wall clock;vase;ventilation;knife holder;mortar;bottle;countertop;stove;hanger;towel;rack;blinds;tap;sink;dishwasher;clock;door frame;speaker;picture;door screen;tv;table;lamp;decorative plant;decoration;music player;subwoofer;mirror;figurine;coffee table;couch;pouffe;tray;kitchen island;dish;basket;chair;candle;fireplace;firewood holder;armchair;wood;pillow
00033-oPj9qMxrDEa,2,27,towel bar;towel;door frame;rack;mirror;stack of towels;countertop;cabinet;sink;tap;liquid soap;soap dish;shower knob;shower hose/head;shower wall;shower wall cubby;paper towel;handle;toilet;stool;rug;lamp;ventilation
00033-oPj9qMxrDEa,3,7,door frame;door stopper;lamp
00033-oPj9qMxrDEa,4,24,cabinet;desk;printer;monitor;stand;picture;keyboard;computer mouse;office chair;stack of cds;stool;decoration;blinds;bed;pillow;stuffed animal;table;lamp
00033-oPj9qMxrDEa,5,19,cabinet;figurine;armchair;display cabinet;stuffed animal;blinds;picture;alarm clock;bed;bench;shoe;stack of shoes;slippers;lamp
00033-oPj9qMxrDEa,6,24,rack;stack of blankets;duvet;stack of clothes;set of hangers;blanket;stack of pillows;stack of bags;stack of shoes;stack of towels;basket;set of cosmetics;box;decorative plant;trashcan;stool;mirror;hanger;lamp;ventilation
00033-oPj9qMxrDEa,7,22,hanger;refrigerator;wardrobe;boiler;ladder;case;basket;blanket;bag;box;pipe;detergent bottle;washing machine;central heating furnace;fire extinguisher;furnace;set of valves
00034-6imZUJGRUq4,1,29,clothes hanger;ladder;device;trashcan;garage door;container;grill;bicycle;armchair;carpet;shelf;wood;cardboard box;garage light;garage door opener motor;garage door railing;pipe;vacuum cleaner;tool box;toy;broom;stairs;stairs railing;tool;door frame
00034-6imZUJGRUq4,2,37,shelf;microwave;table;dishwasher;sink;paper;clock;flower vase;fruit;oven and stove;decoration;door frame;refrigerator;fan;armchair;lamp;tv;chair;step;pouffe;vase;couch;pillow;blanket;candle holder;fireplace;basket;ceiling lamp;device;art frame
00034-6imZUJGRUq4,3,14,curtain;mirror;toy;table;aquarium;wardrobe;lamp;fire alarm;chair
00034-6imZUJGRUq4,4,13,wardrobe;curtain;mirror;shelf;lamp;bed;high shelf;toy
00034-6imZUJGRUq4,5,18,wardrobe;table;fan;lamp;bed;pillow;fire alarm;shelf;tv;flower vase;door frame
00034-6imZUJGRUq4,6,16,mirror;flower vase;paper towel;cabinet;towel;toilet;door frame;curtain;bath cabinet
00034-6imZUJGRUq4,7,16,mirror;clock;towel;curtain;sink cabinet;paper towel;decoration;trashcan;toilet;closet shelf;basket
00034-6imZUJGRUq4,8,33,stairs railing;door frame;stairs;trashcan;broom;washing machine;carpet;container;pipe;lamp;basket of something;table;clothes bag;vacuum cleaner;shelf;mirror;candle holder;decoration;picture frame;storage box;device;tool box;cardboard box;radiator;pillow;pillar
00034-6imZUJGRUq4,9,33,decoration;armchair;shelf;chair;fridge;chest;basket;container;couch;table;carpet;cloth;toy;garage door;treadmill;exercise equipment;lamp;tv;device;basket of something;bed;pillow;cardboard box;storage box;pillar;clock;garage door railing
00035-3XYAD64HpDr,0,34,painting;ornament;table;doormat;carpet;ventilation;tablet;sofa;blanket;pillow;window shade;alarm;door frame;door window;lamp;tv stand;tv;amplifier;speaker;plant;cabinet;box;bottles;drawer;post;book;toy
00035-3XYAD64HpDr,1,22,kitchen cabinet;kitchen counter;sink;countertop item;pot;oven and stove;ventilation hood;fridge;coffee machine;book;countertop;stool;window shade;cabinet door;dishwasher;drawer;door frame
00035-3XYAD64HpDr,2,13,painting;chair;table;bottles;lamp;door frame
00035-3XYAD64HpDr,3,10,fence;plant;chair;table;flowerpot;pavement;rock
00035-3XYAD64HpDr,4,12,painting;stairs;lamp;door frame;banister;tile
00035-3XYAD64HpDr,5,19,door frame;bed;bed cabinet;bed cabinet lamp;painting;window shade;chest of drawers;mirror;tv;pillow;drawer;lamp
00035-3XYAD64HpDr,6,19,curtain;towel;toilet;toilet paper;door frame;towel bar;mirror;wash cabinet;washbasin counter;washbasin;bathmat;painting;liquid soap;glass
00035-3XYAD64HpDr,7,7,lamp;smoke detector;door frame
00035-3XYAD64HpDr,8,33,lamp;photo mount;door frame;office chair;monitor;desk;file;mouse;keyboard;camera;cross-trainer;cabinet;modem;window shade;carpet;ventilation;printer;dumbbell;yoga mat;chest of drawers;book;cloth hanger;bag;toy;drawer;wardrobe
00035-3XYAD64HpDr,9,24,air conditioning;photo mount;ornament;bedside cabinet;bed;armchair;coffee table;chest of drawers;tv;window shade;pillow;clock;table cloth;mirror;lamp;smoke detector;door frame
00035-3XYAD64HpDr,10,6,door frame;lamp
00035-3XYAD64HpDr,11,15,painting;mirror;cabinet;washbasin;countertop;door frame;lamp;countertop item;towel bar
00035-3XYAD64HpDr,12,7,shower cabin;shower
00035-3XYAD64HpDr,13,9,toilet;toilet brush;paper holder;ventilation
00043-Jfyvj3xn2aJ,1,12,toilet paper dispenser;pipe;sink pipe;towel bar;sink;wall lamp;toilet brush;toilet brush holder;toilet
00043-Jfyvj3xn2aJ,2,22,pipe;box;tap;mirror;trash bag;pot;coffee maker;coffee mug;bowl;cloth;wine bottle;plate;lid;jar;bottle;container;floor mat
00043-Jfyvj3xn2aJ,3,27,curtain rod;pillow;toy;box;parapet;chest;handbag;wood;seat;dartboard;rope;foosball game table;doll;heater;workout bike;tv;bowl;pad;candle;bag;desk;appliance
00043-Jfyvj3xn2aJ,4,39,curtain rod;curtain;parapet;painting;canvas;furnace;box;cat food;throw blanket;toy;decorative plant;kitchen appliance;dining table;dining chair;chair /w clutter;bucket;cloth;pan;newspaper;wreath;shade;book;cabinet;shelf;plush toy;clothes;candle;bag;decoration;exercise mat roll;weight;door frame;can
00043-Jfyvj3xn2aJ,5,15,support beam;parapet;balcony railing;lamp;lamp stand;flowerpot;rod;bucket;clothes;pillow;tap
00043-Jfyvj3xn2aJ,6,12,ceiling lamp;door frame;stairs;staircase trim;rug;bulletin board;decoration;ceiling under stairs
00043-Jfyvj3xn2aJ,7,44,blinds;bottle;basket;toothbrush;decoration;wall lamp;wall soap shelf;hair brush;brush;hair dryer;bathroom shelf;weight;mirror;bathroom towel;sink;faucet;bench;trashcan;toilet brush;wall toilet paper;toilet;decorative plant;shower wall;shower tap;shower hose;shower hose/head;shower rail;bathtub;shower door;shampoo;soap bottle;soap dispenser;cosmetic;shower mat;cosmetics;clothes dryer;towel;bathroom cabinet;mop;rug
00043-Jfyvj3xn2aJ,8,22,parapet;ceiling lamp;wardrobe;beanbag chair;exercise ball;bag;box;yoga mat;bed;clothes;pillow;office chair;cabinet;decoration;book;desk;trashcan
00043-Jfyvj3xn2aJ,9,15,ceiling lamp;blinds;parapet;beanbag chair;box;bed;cabinet;desk;wardrobe;office chair
00043-Jfyvj3xn2aJ,10,24,parapet;blinds;cabinet;bed;hanging clothes;coat hanger;stair;wardrobe;clothes;chair;monitor;box;computer desk;keyboard;computer tower;painting;bottle;pillow;bag;appliance
00043-Jfyvj3xn2aJ,11,38,storage shelving;box;pillow;bag;rod;wood;carpet roll;bucket;canister;trash bag;motorcycle;table;throw blanket;appliance;tool;tool box;cardboard box;vacuum cleaner;board;bottle;wall lamp;garage door;doorstep;shelf with clutter;plush toy;flowerpot;shoe;container;picture frame;cabinet /w clutter;doormat;clutter;folding chair
00043-Jfyvj3xn2aJ,12,28,ceiling door;support beam;tire;bucket;machine;trashcan;stool;trash bag;tool;box;board;basket of something;wood;stick;ladder;basket;axe;firewood;rug;partition;shoe;bag;hanging clothes;ceiling lamp
00043-Jfyvj3xn2aJ,13,14,electric wire casing;boiler;bag;cabinet;box;toilet paper;refrigerator;hose;pipe;vacuum cleaner;laundry basket
